station,horizon,rmse_lags_only,mae_lags_only,skill_rmse_vs_persistence_lags_only,skill_mae_vs_persistence_lags_only,rmse_lags_meteo,mae_lags_meteo,skill_rmse_vs_persistence_lags_meteo,skill_mae_vs_persistence_lags_meteo,delta_rmse_meteo_minus_lags,delta_mae_meteo_minus_lags,delta_skill_rmse_meteo_minus_lags,delta_skill_mae_meteo_minus_lags
Dundalk Co Louth,23,13.148480661874318,8.517291521987508,0.1897998495716261,0.1840038225053735,12.675220851765214,8.114800343255181,0.2189617869241232,0.222564351104522,-0.4732598101091039,-0.4024911787323262,0.029161937352497086,0.03856052859914849
Dundalk Co Louth,24,12.661307083903155,8.467333792550926,0.160741310019829,0.1436416384002259,11.249756061923282,7.960714393321708,0.2543064098706259,0.1948794624080936,-1.4115510219798733,-0.5066193992292183,0.09356509985079692,0.051237824007867694
Pearse street dublin,1,6.087939835205373,3.6461159996410704,0.1655164875213287,0.1416650184034948,5.322234392212903,3.2781580003396633,0.2704729399319393,0.2282862950139348,-0.7657054429924699,-0.36795799930140705,0.10495645241061063,0.08662127661044
Pearse street dublin,2,5.980006972039638,4.221793989269979,0.2782435839815237,0.2423564618215916,5.194055567041884,3.725129097217275,0.3731039197450426,0.3314879890965346,-0.7859514049977534,-0.4966648920527037,0.09486033576351888,0.089131527274943
Pearse street dublin,3,6.516422120499948,4.569989092349893,0.287258903439423,0.2433929925715099,5.795591039033246,4.127511723401299,0.3661006245463588,0.3166495083333194,-0.7208310814667023,-0.4424773689485937,0.07884172110693577,0.0732565157618095
Pearse street dublin,4,6.375372567693508,4.639886303199768,0.3557221552269369,0.29056297246094,5.79487852211078,4.329778085658573,0.4143853076341918,0.3379784127738078,-0.5804940455827277,-0.31010821754119533,0.05866315240725489,0.04741544031286782
Pearse street dublin,5,6.118652733920062,4.77334781644886,0.4336071968032132,0.3101342318452773,5.859735654058255,4.376495022440425,0.457574690471464,0.3674891885990159,-0.25891707986180634,-0.396852794008435,0.023967493668250794,0.05735495675373864
Pearse street dublin,6,7.032770403892028,5.235326122102914,0.3892274331891802,0.2691757070726687,6.452326829576675,4.800410445716063,0.4396370145367014,0.3298876731021624,-0.5804435743153524,-0.4349156763868516,0.050409581347521215,0.06071196602949369
Pearse street dublin,7,6.995987089789191,5.309788621687403,0.3805625713482202,0.2430235098973243,6.561563078102631,4.948212548911103,0.4190272639341269,0.2945706817296245,-0.4344240116865601,-0.3615760727763,0.038464692585906735,0.051547171832300176
Pearse street dublin,8,7.356878906787078,5.642149962042472,0.3782379540791538,0.2433320301596767,7.002108242493066,5.364523747490378,0.4082211761572887,0.2805644443196755,-0.35477066429401205,-0.277626214552094,0.02998322207813492,0.03723241415999878
Pearse street dublin,9,7.900915342357621,6.2041872117577554,0.3658953730963286,0.223304324978445,7.559052920897936,5.790474733429733,0.393332262851357,0.2750965552339833,-0.3418624214596848,-0.4137124783280228,0.027436889755028393,0.05179223025553831
Pearse street dublin,10,15.017793975369033,8.063177102700033,0.1727284463832178,0.1990017269681647,14.767488741285469,7.530466224581563,0.1865167830868871,0.2519213748889927,-0.2503052340835641,-0.5327108781184702,0.013788336703669302,0.052919647920827984
Pearse street dublin,11,10.340991476963874,6.837032849085331,0.2849989680924859,0.2505415011650755,9.855676255777745,6.584345075371594,0.3185548301896073,0.2782405050665665,-0.4853152211861289,-0.2526877737137365,0.03355586209712136,0.027699003901490993
