station_id,province,municipality,station_code,first_date,last_date,usable_days,usable_years,coverage_total,support_days,source_years_present,usable_days_2020,usable_days_2021,usable_days_2022,usable_days_2023
31232003_10_49,31,232,3,2020-01-01,2023-12-31,1363,4,0.932922655715,1461,4,336,350,341,336
32032001_10_49,32,32,1,2020-01-01,2023-12-31,1419,4,0.971252566735,1461,4,360,351,353,355
32039001_10_49,32,39,1,2020-01-01,2023-12-31,1425,4,0.975359342916,1461,4,353,357,360,355
32054004_10_49,32,54,4,2020-01-01,2023-12-31,1418,4,0.970568104038,1461,4,356,355,353,354
33004020_10_49,33,4,20,2020-01-01,2023-12-31,1429,4,0.978097193703,1461,4,359,356,349,365
33004021_10_49,33,4,21,2020-01-01,2023-12-31,1438,4,0.984257357974,1461,4,366,364,347,361
33004048_10_49,33,4,48,2020-01-01,2023-12-31,1416,4,0.969199178645,1461,4,358,352,354,352
33004049_10_49,33,4,49,2020-01-01,2023-12-31,1425,4,0.975359342916,1461,4,358,352,362,353
33004052_10_49,33,4,52,2020-01-01,2023-12-31,1383,4,0.946611909651,1461,4,346,338,341,358
33011001_10_49,33,11,1,2020-01-01,2023-12-31,1398,4,0.956878850103,1461,4,357,353,346,342
33024024_10_49,33,24,24,2020-01-01,2023-12-31,1437,4,0.983572895277,1461,4,363,360,357,357
33024025_10_49,33,24,25,2020-01-01,2023-12-31,1425,4,0.975359342916,1461,4,352,358,363,352
33024027_10_49,33,24,27,2020-01-01,2023-12-31,1418,4,0.970568104038,1461,4,356,352,351,359
33024031_10_49,33,24,31,2020-01-01,2023-12-31,1421,4,0.972621492129,1461,4,360,365,344,352
33024032_10_49,33,24,32,2020-01-01,2023-12-31,1439,4,0.984941820671,1461,4,359,359,361,360
33031029_10_49,33,31,29,2020-01-01,2023-12-31,1400,4,0.958247775496,1461,4,352,340,354,354
33031030_10_49,33,31,30,2020-01-01,2023-12-31,1402,4,0.959616700890,1461,4,357,354,336,355
33031032_10_49,33,31,32,2020-01-01,2023-12-31,1375,4,0.941136208077,1461,4,340,344,350,341
33037012_10_49,33,37,12,2020-01-01,2023-12-31,1396,4,0.955509924709,1461,4,350,358,335,353
33044029_10_49,33,44,29,2020-01-02,2023-12-31,1431,4,0.980136986301,1460,4,353,362,358,358
33044030_10_49,33,44,30,2020-01-01,2023-12-31,1412,4,0.966461327858,1461,4,345,357,360,350
33044032_10_49,33,44,32,2020-01-01,2023-12-31,1440,4,0.985626283368,1461,4,363,356,359,362
33044033_10_49,33,44,33,2020-01-01,2023-12-31,1433,4,0.980835044490,1461,4,366,360,357,350
33060003_10_49,33,60,3,2020-01-01,2023-12-31,1407,4,0.963039014374,1461,4,349,339,358,361
33066004_10_49,33,66,4,2020-01-01,2023-12-31,1431,4,0.979466119097,1461,4,362,360,357,352
34023003_10_49,34,23,3,2020-01-01,2023-12-31,1418,4,0.970568104038,1461,4,360,360,345,353
34080004_10_49,34,80,4,2020-01-01,2023-12-31,1452,4,0.993839835729,1461,4,366,365,362,359
34120008_10_49,34,120,8,2020-01-01,2023-12-31,1451,4,0.993155373032,1461,4,356,365,365,365
35002001_10_A,35,2,1,2020-01-01,2023-12-31,1381,4,0.945242984257,1461,4,356,320,349,356
35004001_10_49,35,4,1,2020-01-01,2023-12-31,1437,4,0.983572895277,1461,4,359,360,357,361
35006001_10_49,35,6,1,2020-01-01,2023-12-31,1334,4,0.913073237509,1461,4,309,340,334,351
35016010_10_49,35,16,10,2020-01-01,2023-12-31,1438,4,0.984257357974,1461,4,363,358,357,360
35016012_10_49,35,16,12,2020-01-01,2023-12-31,1317,3,0.901437371663,1461,4,322,297,344,354
35017001_10_47,35,17,1,2020-01-01,2023-12-31,1404,4,0.960985626283,1461,4,341,350,354,359
35017002_10_47,35,17,2,2020-01-01,2023-12-31,1433,4,0.980835044490,1461,4,363,352,358,360
35017003_10_49,35,17,3,2020-01-17,2023-12-31,1301,3,0.900346020761,1445,4,251,344,347,359
35017004_10_49,35,17,4,2020-01-01,2023-12-31,1386,4,0.948665297741,1461,4,331,351,347,357
35017005_10_49,35,17,5,2020-01-01,2023-12-31,1381,4,0.945242984257,1461,4,360,342,345,334
35019001_10_A,35,19,1,2020-01-01,2023-12-31,1406,4,0.962354551677,1461,4,360,348,344,354
35019004_10_47,35,19,4,2020-01-01,2023-12-31,1421,4,0.972621492129,1461,4,354,359,353,355
35022003_10_49,35,22,3,2021-01-01,2023-12-31,1046,3,0.955251141553,1095,3,0,360,345,341
35024001_10_49,35,24,1,2020-01-01,2023-12-31,1407,4,0.963039014374,1461,4,358,360,332,357
35024002_10_49,35,24,2,2020-01-01,2023-12-31,1432,4,0.980150581793,1461,4,362,357,354,359
35026001_10_49,35,26,1,2020-01-01,2023-12-31,1443,4,0.987679671458,1461,4,362,361,359,361
35026003_10_49,35,26,3,2020-01-01,2023-12-29,1302,3,0.892392049349,1459,4,299,325,328,350
35026004_10_49,35,26,4,2020-01-01,2023-12-31,1424,4,0.974674880219,1461,4,359,356,351,358
36024001_10_49,36,24,1,2020-01-01,2023-12-31,1422,4,0.973305954825,1461,4,356,361,357,348
36038008_10_49,36,38,8,2020-01-01,2023-12-31,1444,4,0.988364134155,1461,4,357,360,363,364
36038010_10_49,36,38,10,2020-01-01,2023-12-30,1416,4,0.969863013699,1460,4,357,356,350,353
36041001_10_47,36,41,1,2020-01-01,2023-12-31,1434,4,0.981519507187,1461,4,362,363,349,360
36057019_10_49,36,57,19,2020-01-01,2023-12-31,1430,4,0.978781656400,1461,4,362,353,356,359
36057022_10_47,36,57,22,2020-01-01,2023-12-31,1442,4,0.986995208761,1461,4,365,360,359,358
36057026_10_49,36,57,26,2020-01-01,2023-12-31,1417,4,0.969883641342,1461,4,343,354,360,360
37274010_10_49,37,274,10,2020-01-01,2023-12-31,1455,4,0.995893223819,1461,4,364,363,365,363
37274011_10_49,37,274,11,2020-01-01,2023-12-31,1446,4,0.989733059548,1461,4,359,363,365,359
38004001_10_49,38,4,1,2020-01-01,2023-12-31,1381,4,0.945242984257,1461,4,325,351,352,353
38005001_10_46,38,5,1,2020-01-01,2023-12-29,1411,4,0.967100753941,1459,4,353,352,355,351
38006001_10_46,38,6,1,2020-01-01,2023-12-29,1432,4,0.981494174092,1459,4,361,361,349,361
38006002_10_46,38,6,2,2020-01-01,2022-12-31,1070,3,0.976277372263,1096,3,361,360,349,0
